notation,domain,matrix,name,description,tag,tag,tag,tags,tags,,,,,
165,Hydrological,aquifer,Water in aquifer per unit area,Amount of water present beneath the ground surface per unit area.,,,,,,,,,,
166,Hydrological,aquifer,Level of water in aquifer,Piezometric level of ground water,,,,,,,,,,
167,Hydrological,,Area of water body,"Area extent of the surface of a water body (lake, river, etc.) (http://hydro.geodab.eu/hydro-ontology/concept/23).",Physical,Surface water,,,,,,,,
168,Hydrological,,"Level, lake",(http://hydro.geodab.eu/hydro-ontology/concept/15),Physical,Surface water,,,,,,,,
171,Hydrological,,"Flux, discharge",Volume of water flowing through a cross-section per unit of time (http://hydro.geodab.eu/hydro-ontology/concept/76).,Physical,Surface water,,,,,,,,
172,Hydrological,,"Level, stream",Height of the water body surface relative to a reference datum (http://hydro.geodab.eu/hydro-ontology/concept/11),Physical,Surface water,,,,,,,,
174,Hydrological,,"Discharge, well flow rate",Volume of water flowing out of a well per unit of time (http://hydro.geodab.eu/hydro-ontology/concept/5031).,Physical,,,,,,,,,
231,Terrestrial,,Breaking action-friction coefficient,,Land surface,Breaking action-friction coefficient,,,,,,,,
232,Terrestrial,,Coastlines,Location of coastlines (Lat/Long),Land surface,Coastlines,,,,,,,,
236,Terrestrial,,Land cover,"Processed from land surface imagery by assigning identified cluster(s) within a given area to specific classes of objects - Accuracy expressed as number of classes. Actually [ classes-1 ] is used, so that smaller figure corresponds to better performance, as usual.",Land surface,Land cover,,,,,,,,
237,Terrestrial,,Land surface topography,Map of land surface heights.,Land surface,Land surface topography,,,,,,,,
239,Terrestrial,,Runway conditions,,Land surface,Runway conditions,,,,,,,,
243,Terrestrial,,Wetland extent,Fraction of an area flood by water.,Land surface,Wetland extent,,,,,,,,
243,Hydrological,,Wetland extent,Fraction of an area flood by water.,Physical,Surface water,,,,,,,,
245,Terrestrial,,Soil heat Flux,,Soil,Soil heat Flux,,,,,,,,
246,Terrestrial,,Soil type,"Result of the classification of different types of soil within an area - Accuracy expressed as inverse of the number of classes, so that smaller figures correspond to better performance.",Soil,Soil type,,,,,,,,
354,Terrestrial,,Permafrost,,Cryosphere,Permafrost,,,,,,,,
386,Terrestrial,,Fire fractional cover,Fraction of a land area where fire is occurring.,Land surface,Fire,Fire fractional cover,,,,,,,
387,Terrestrial,,Fire radiative power,Power radiated by the fire occurring within an area.,Land surface,Fire,Fire radiative power,,,,,,,
388,Terrestrial,,Fire temperature,Temperature of the fire occurring within an area.,Land surface,Fire,Fire temperature,,,,,,,
389,Terrestrial,,Land surface temperature,Temperature of the apparent surface of land (bare soil or vegetation).,Land surface,Temperature,Land surface temperature,,,,,,,
410,Terrestrial,,Lake Surface Temperature,Temperature of the lake surface.,Lake,Temperature,Lake Surface Temperature,,,,,,,
410,Hydrological,,Water temperature,Temperature of water (http://hydro.geodab.eu/hydro-ontology/concept/51),Physical,Surface water,,,,,,,,
422,Terrestrial,,CO2 flux,Flux of carbon dioxide from the surface to the atmosphere,Land surface,Greenhouse Gas,CO2 flux,,,,,,,
423,Terrestrial,,Biomass,Total amount of vegetation in a reference area,Land surface,Vegetation,Biomass,,,,,,,
424,Terrestrial,,Fraction of vegetated land,Fraction of a land area where vegetation is present.,Land surface,Vegetation,Fraction of vegetated land,,,,,,,
425,Terrestrial,,Leaf Area Index (LAI),"LAI (Leaf Area Index, LAI) is the total one-sided area of photosynthetic tissue per unit ground surface area.",Land surface,Vegetation,Leaf Area Index (LAI),,,,,,,
426,Terrestrial,,Normalised Difference Vegetation Index (NDVI),"Difference between maximum (in NIR) and minimum (around the Red) vegetation reflectance, normalised to the summation. Representative of total biomass, supportive for computing LAI if not directly measured.",Land surface,Vegetation,Normalised Difference Vegetation Index (NDVI),,,,,,,
427,Terrestrial,,Vegetation type,"Result of the classification of different types of vegetation within a vegetated area - Accuracy expressed as inverse of the number of classes, so that smaller figures correspond to better performance.",Land surface,Vegetation,Vegetation type,,,,,,,
510,Terrestrial,,Evaporation,Quantity of water evaporated from the soil and plants when the ground is at its natural moisture content.,Land surface,Humidity,Evaporation,,,,,,,
527,Terrestrial,,Soil moisture (in the roots region),Sub-soil 3D field of the fractional content of water in a volume of wet soil. Typically in a layer from the surface down to approximately 3m.,Soil,Humidity,Soil moisture (in the roots region),,,,,,,
527,Hydrological,,Soil moisture,Fractional content of water in a volume of wet soil (http://hydro.geodab.eu/hydro-ontology/concept/138),Physical,,,,,,,,,
